refcat_parcel,refcat_inmueble,nombre_via,num_1,num_2,km,dir_bi,cp_aprox,m2_bi
2447203UG4924N,2447203UG4924N0023FD,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: EN  Pt: EN,14005,38
2447203UG4924N,2447203UG4924N0024GF,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: EN  Pt: EN,14005,38
2447203UG4924N,2447203UG4924N0025HG,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: EN  Pt: EN,14005,29
2447203UG4924N,2447203UG4924N0026JH,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14005,27
2447203UG4924N,2447203UG4924N0027KJ,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14005,29
2447203UG4924N,2447203UG4924N0028LK,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14005,27
2447203UG4924N,2447203UG4924N0029BL,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14005,32
2447203UG4924N,2447203UG4924N0030KJ,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14005,29
2447203UG4924N,2447203UG4924N0031LK,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14005,29
2447203UG4924N,2447203UG4924N0032BL,AV MEDINA AZAHARA,43  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14005,32
4667914UG4946N,4667914UG4946N0001JH,AV CHINALES,45  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14007,1278
4246430UG4944N,4246430UG4944N0001ZT,CL ALCANTARA,3  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14002,57
4246430UG4944N,4246430UG4944N0002XY,CL ALCANTARA,3  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14002,65
4246430UG4944N,4246430UG4944N0003MU,CL ALCANTARA,3  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14002,48
4246430UG4944N,4246430UG4944N0004QI,CL ALCANTARA,3  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14002,35
4246430UG4944N,4246430UG4944N0005WO,CL ALCANTARA,3  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14002,41
4246430UG4944N,4246430UG4944N0006EP,CL ALCANTARA,3  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14002,50
4246430UG4944N,4246430UG4944N0007RA,CL ALCANTARA,3  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14002,65
4246430UG4944N,4246430UG4944N0008TS,CL ALCANTARA,3  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14002,39
4246430UG4944N,4246430UG4944N0009YD,CL ALCANTARA,3  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14002,33
4246430UG4944N,4246430UG4944N0010RA,CL ALCANTARA,3  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14002,35
4246430UG4944N,4246430UG4944N0011TS,CL ALCANTARA,3  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14002,71
4042102UG4944S,4042102UG4944S0001KD,PS RIBERA,5  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,268
4042520UG4944S,4042520UG4944S0001RD,PS RIBERA,6  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,670
4046880UG4944N,4046880UG4944N0001MT,CL RODRIGUEZ MARIN,16  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,670
3946226UG4934N,3946226UG4934N0001RQ,CL DIARIO CORDOBA,13  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,1282
4143821UG4944S,4143821UG4944S0001XD,CL LINEROS,30  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,257
3750901UG4935S,3750901UG4935S0001BE,CL CONDE DE TORRES CABRERA,32  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14001,1806
3344102UG4934S,3344102UG4934S0001FO,CL HORNO DE LA TRINIDAD,7  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,324
3649104UG4934N,3649104UG4934N0001PQ,CL CONDE DE TORRES CABRERA,7  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14001,630
3841503UG4934S,3841503UG4934S0001UO,CL CORREGIDOR LUIS CERDA,10  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,227
3740328UG4934S,3740328UG4934S0001SO,CL MAGISTRAL GLEZ FRANCES,15  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,6685
3643104UG4934S,3643104UG4934S0001EO,CL REY HEREDIA,6  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,385
3639407UG4933N,3639407UG4933N0001FU,PZ CANONIGO TORRES MOLINA,1  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,1353
4227724UG4942N,4227724UG4942N0001PJ,CL CORREGIDOR ZAPATA,45  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14009,60
2554401UG4925S,2554401UG4925S0001MX,CL INGENIERO R ERASO BETELU,2  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14011,161
5990601UG5959S,5990601UG5959S0001BX,CR MADRID NACIONAL IV,388  C,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14610,8718
2953402UG4925S,2953402UG4925S0001KX,AV DE LA LIBERTAD,212  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14006,5000
3225513UG4932N,3225513UG4932N0001XD,AV DE CADIZ,78  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14013,4522
6110602UG3961S,6110602UG3961S0001PR,CL J PEREZ ZURITA(GOLONDRINA,3  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,00000,118
6212504UG3961S,6212504UG3961S0001ER,PL IND QUINTOS(GOLONDRINA),2  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14012,186
3036921UG4933N,3036921UG4933N0001QU,CL POSTRERA,15  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14004,210
3239705UG4933N,3239705UG4933N0001JU,CL SAN BASILIO,2  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14004,330
3239709UG4933N,3239709UG4933N0001UU,CL SAN BASILIO,12  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14004,91
4147359UG4944N,4147359UG4944N0001UT,CL SAN PABLO,4  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14002,207
3943802UG4934S,3943802UG4934S0003FA,CL ROMERO BARROS,13  ,0  ,0,Blq:   Esc: E  Pl: 00  Pt: 00,14003,99
3943802UG4934S,3943802UG4934S0004GS,CL ROMERO BARROS,13  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14003,75
3943802UG4934S,3943802UG4934S0005HD,CL ROMERO BARROS,13  ,0  ,0,Blq:   Esc: E  Pl: 01  Pt: 01,14003,51
3943802UG4934S,3943802UG4934S0006JF,CL ROMERO BARROS,13  ,0  ,0,Blq:   Esc: E  Pl: 02  Pt: 02,14003,75
3943802UG4934S,3943802UG4934S0007KG,CL ROMERO BARROS,13  ,0  ,0,Blq:   Esc: E  Pl: 02  Pt: 02,14003,51
4143818UG4944S,4143818UG4944S0001XD,CL VINAGREROS,1  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,276
3942632UG4934S,3942632UG4934S0001RO,CL ROMERO BARROS,4  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,1596
3844452UG4934S,3844452UG4934S0001WO,CL JUNIO GALION,1  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14003,222
4143825UG4944S,4143825UG4944S0001SD,CL LINEROS,38  ,0  ,0,Blq:   Esc: T  Pl: OD  Pt: OD,14002,473
