ref_catastral,codigo_uso,pc_31,valor_control,sup_bi
0904201UG3910S,M,,0,3436
0141202UG4904S,M,,0,3431
2058101UG4925N,M,,0,3425
4364801UG4946S,M,,0,3419
2608906UH4020N,M,,0,3406
1187623UG4918N,M,,0,3402
8210405UH3081S,M,,0,3402
4910901UG3941S,M,,0,3382
7714037UG3971S,M,,0,3382
9750155UG4995S,M,,0,3375
1294614UG4919S,M,,0,3370
2714062UH5021S,M,,0,3365
2773308UG4927S,M,,0,3362
7741115UH3074S,M,,0,3348
2613908UH4021S,M,,0,3343
8038613UG3983N,M,,0,3343
3597004UG3939N,M,,0,3342
2720513UH5022S,M,,0,3337
1934902UG4913S,M,,0,3336
6720619UG3962S,M,,0,3331
3836606UG4933N,M,,0,3330
3622707UG4932S,M,,0,3326
0255001UG4905N,M,,0,3322
2716010UH5021N,M,,0,3310
8347120UH3084N,M,,0,3299
2720514UH5022S,M,,0,3290
9108209UH3090N,M,,0,3290
1948801UG4914N,M,,0,3289
14900A10800273,M,,0,3284
8606206UH3080N,M,,0,3283
2719902UG4921N,M,,0,3282
1187614UG4918N,M,,0,3278
3554117UG4935S,M,,0,3261
4671003UH4047S,M,,0,3254
1187613UG4918N,M,,0,3252
3222028UH5032S,M,,0,3245
3080723UG4938S,M,,0,3244
4428701UG4942N,M,,0,3236
8007703UH3080N,M,,0,3226
1447702UG4914N,M,,0,3200
9658001UG4995N,M,,0,3200
2667304UG4926N,M,,0,3199
4673040UH4047S,M,,0,3196
3221007UH5032S,M,,0,3192
000400400UH30B,M,,0,3175
9950502UG3995S,M,,0,3163
7119820UG3971N,M,,0,3159
1187619UG4918N,M,,0,3157
2301607UH3020S,M,,0,3155
5382122UG4958S,M,,0,3152
8013302UH3081S,M,,0,3150
2613907UH4021S,M,,0,3143
4329625UG3942N,M,,0,3139
3370207UG4937S,M,,0,3136
8213413UH3081S,M,,0,3136
3295101UG3939N,M,,0,3134
4667903UG4946N,M,,0,3134
0053302UG4905S,M,,0,3132
8109416UH3080N,M,,0,3132
0153301UG4905S,M,,0,3130
0153302UG4905S,M,,0,3130
